"Address","Suffix","Street","Side","Site","On Street","X","Y","Latitude","Longitude","Inventory Date","Site ID","Species","DBH","Park Name","Growing Space Type","Multi Stem"
19,"","ADAMS ST","Front",2,"ADAMS ST",764045.146323416,2968837.8027365,42.3939495536,-71.1006386502,"12/21/2017",20529,"honeylocust: thornless (Gleditsia triacanthos inermis)",3.4,"N/A","Well/Pit","No"
27,"","ADAMS ST","Front",1,"ADAMS ST",764067.092581494,2968896.13817773,42.3941093442,-71.100556396,"12/21/2017",20572,"maple: Norway (Acer platanoides)",14.8,"N/A","Well/Pit","No"
30,"","ADAMS ST","Front",1,"ADAMS ST",764071.146732854,2968958.72103365,42.3942810196,-71.1005403029,"12/21/2017",20533,"ash: green (Fraxinus pennsylvanica)",12.9,"N/A","Well/Pit","No"
35,"","ADAMS ST","Front",1,"ADAMS ST",764105.429790384,2968961.28791453,42.3942876225,-71.1004133452,"12/21/2017",20614,"cherry/plum: spp. (Prunus spp.)",3.2,"N/A","Well/Pit","No"
36,"","ADAMS ST","Front",1,"ADAMS ST",764084.978444197,2968996.32405612,42.3943840246,-71.100488447,"12/21/2017",20491,"ash: green (Fraxinus pennsylvanica)",9.8,"N/A","Well/Pit","No"
39,"","ADAMS ST","Front",1,"ADAMS ST",764136.539569785,2969022.55359637,42.3944553357,-71.1002971164,"12/21/2017",20488,"serviceberry: spp. (Amelanchier spp.)",8.5,"N/A","Well/Pit","No"
40,"","ADAMS ST","Front",1,"ADAMS ST",764108.456917474,2969036.85976815,42.3944949529,-71.1004008283,"12/21/2017",20613,"oak: pin (Quercus palustris)",29.4,"N/A","Well/Pit","No"
43,"","ADAMS ST","Front",1,"ADAMS ST",764158.514741977,2969074.63245304,42.3945979575,-71.1002148622,"12/21/2017",20531,"serviceberry: spp. (Amelanchier spp.)",8.5,"N/A","Well/Pit","No"
48,"","ADAMS ST","Front",1,"ADAMS ST",764155.300851831,2969141.99332705,42.3947828372,-71.1002255911,"12/21/2017",20573,"ash: green (Fraxinus pennsylvanica)",9.9,"N/A","Well/Pit","No"
52,"","ADAMS ST","Front",1,"ADAMS ST",764174.962318615,2969172.40460251,42.3948660329,-71.1001522775,"12/21/2017",20532,"oak: pin (Quercus palustris)",22.3,"N/A","Well/Pit","No"
53,"","ADAMS ST","Front",1,"ADAMS ST",764202.986132837,2969170.61097124,42.3948607507,-71.1000485658,"12/21/2017",20574,"serviceberry: spp. (Amelanchier spp.)",9.2,"N/A","Well/Pit","No"
54,"","ADAMS ST","Front",1,"ADAMS ST",764210.818252446,2969251.49848046,42.3950826053,-71.1000181674,"12/21/2017",20490,"ash: green (Fraxinus pennsylvanica)",13.9,"N/A","Well/Pit","No"
55,"","ADAMS ST","Front",1,"ADAMS ST",764242.715115607,2969247.79804749,42.3950720408,-71.0999001505,"12/21/2017",20642,"pear: callery (Pyrus calleryana)",13.6,"N/A","Well/Pit","No"
60,"","ADAMS ST","Front",1,"ADAMS ST",764235.205834499,2969304.06946582,42.3952265463,-71.0999269726,"12/21/2017",20610,"oak: pin (Quercus palustris)",25.2,"N/A","Well/Pit","No"
66,"","ADAMS ST","Front",1,"ADAMS ST",764263.01275759,2969348.4751212,42.3953480376,-71.0998232607,"12/21/2017",20571,"oak: pin (Quercus palustris)",26.1,"N/A","Well/Pit","No"
73,"","ADAMS ST","Front",1,"ADAMS ST",764313.098986639,2969379.99151214,42.3954338736,-71.0996372947,"12/21/2017",20489,"oak: pin (Quercus palustris)",21.1,"N/A","Well/Pit","No"
73,"","ADAMS ST","Side",1,"BROADWAY",764378.508131737,2969404.3989317,42.3955000049,-71.0993947264,"6/12/2017",13118,"sweetgum: American (Liquidambar styraciflua)",6.3,"N/A","Well/Pit","No"
2,"","ADRIAN ST","Front",1,"ADRIAN ST",764754.897999068,2962859.1656593,42.3775349826,-71.0981155001,"11/2/2017",19794,"pear: callery (Pyrus calleryana)",16.2,"N/A","Well/Pit","No"
3,"","ADRIAN ST","Front",1,"ADRIAN ST",764749.465579394,2962889.9386519,42.3776194943,-71.0981350686,"11/2/2017",19751,"maple: Norway (Acer platanoides)",14.9,"N/A","Well/Pit","No"
15,"","ADRIAN ST","Front",1,"ADRIAN ST",764622.180346451,2962815.90474237,42.37741798799071,-71.09860743365473,"11/21/2017",44251,"snowbell: Japanese (Styrax japonicus)",2,"N/A","Well/Pit","No"
18,"","ADRIAN ST","Front",1,"ADRIAN ST",764617.821426029,2962774.22923693,42.3773036871,-71.0986242915,"11/2/2017",19798,"pear: callery (Pyrus calleryana)",19.6,"N/A","Well/Pit","No"
19,"","ADRIAN ST","Front",1,"ADRIAN ST",764584.349716434,2962799.60224966,42.3773737431,-71.0987477261,"11/2/2017",19752,"planetree: London (Platanus x acerifolia)",8.3,"N/A","Well/Pit","No"
25,"","ADRIAN ST","Front",1,"ADRIAN ST",764527.037437981,2962791.63304505,42.3773526151,-71.0989599736,"11/2/2017",19789,"planetree: London (Platanus x acerifolia)",7.2,"N/A","Well/Pit","No"
31,"","ADRIAN ST","Front",1,"ADRIAN ST",764447.381785823,2962777.88555376,42.3773159192,-71.0992550126,"11/2/2017",19826,"honeylocust: thornless (Gleditsia triacanthos inermis)",17.9,"N/A","Well/Pit","No"
35,"","ADRIAN ST","Front",1,"ADRIAN ST",764399.000281055,2962773.60583498,42.3773047992,-71.0994341434,"11/2/2017",19754,"cherry/plum: spp. (Prunus spp.)",4.7,"N/A","Well/Pit","No"
36,"","ADRIAN ST","Front",1,"ADRIAN ST",764393.059197326,2962739.53723867,42.3772113911,-71.099456723,"11/2/2017",19759,"linden: littleleaf (Tilia cordata)",23.8,"N/A","Well/Pit","No"
39,"","ADRIAN ST","Front",1,"ADRIAN ST",764335.60408263,2962761.96131431,42.3772736632,-71.0996689704,"11/2/2017",19791,"planetree: London (Platanus x acerifolia)",26.6,"N/A","Well/Pit","No"
40,"","ADRIAN ST","Front",1,"ADRIAN ST",764325.181261447,2962729.49267123,42.377184703,-71.0997081084,"11/2/2017",19829,"maple: red (Acer rubrum)",7.8,"N/A","Well/Pit","No"
43,"","ADRIAN ST","Front",1,"ADRIAN ST",764291.293602577,2962756.89043462,42.3772603192,-71.0998330482,"11/2/2017",19828,"maple: Norway (Acer platanoides)",12.6,"N/A","Well/Pit","No"
7,"","ALBION ST","Front",1,"PRIVATE DRIVE",763406.980000109,2967377.00615612,42.3899492969,-71.1030262475,"12/14/2017",20249,"honeylocust: thornless (Gleditsia triacanthos inermis)",15.3,"N/A","Well/Pit","No"
10,"","ALBION ST","Front",1,"ALBION ST",763412.436114594,2967340.56664374,42.389849237,-71.1030066786,"12/14/2017",20154,"maple: Norway (Acer platanoides)",19,"N/A","Well/Pit","No"
12,"","ALBION ST","Front",1,"ALBION ST",763372.50745474,2967356.99263464,42.3898948198,-71.1031541981,"12/14/2017",20107,"maple: red (Acer rubrum)",3.4,"N/A","Well/Pit","No"
20,"","ALBION ST","Front",1,"ALBION ST",763295.903448147,2967389.85991291,42.3899859855,-71.1034371948,"8/27/2018",20244,"vacant site: medium (vacant site medium)",0,"N/A","Well/Pit","No"
20,"","ALBION ST","Front",2,"ALBION ST",763269.54890727,2967402.38247351,42.39002068267363,-71.10353453518287,"7/18/2018",44322,"cherry: Japanese flowering (Prunus serrulata)",2,"N/A","Well/Pit","No"
25,"","ALBION ST","Front",0,"ALBION ST",763191.807760422,2967469.50842119,42.39020586781249,-71.10382115329686,"10/31/2018",44273,"serviceberry: downy (Amelanchier arborea)",2,"N/A","Well/Pit","No"
28,"","ALBION ST","Front",1,"ALBION ST",763127.2079132,2967463.22130248,42.39018944,-71.1040603895,"12/14/2017",20198,"maple: Norway (Acer platanoides)",14.9,"N/A","Well/Pit","No"
29,"","ALBION ST","Front",1,"ALBION ST",763114.014780627,2967502.05574272,42.3902961699,-71.1041085591,"12/14/2017",20108,"maple: Amur (Acer tataricum ginnala)",10,"N/A","Well/Pit","No"
34,"","ALBION ST","Front",1,"ALBION ST",763046.924169851,2967500.52896498,42.3902928346,-71.1043569338,"12/14/2017",20151,"maple: Norway (Acer platanoides)",16.5,"N/A","Well/Pit","No"
35,"","ALBION ST","Front",1,"ALBION ST",763041.472447563,2967536.1579933,42.3903906702,-71.1043765027,"12/14/2017",20153,"pear: callery (Pyrus calleryana)",12.9,"N/A","Well/Pit","No"
37,"","ALBION ST","Front",1,"ALBION ST",763017.819504337,2967550.63414088,42.3904306939,-71.1044638101,"12/14/2017",20200,"linden: littleleaf (Tilia cordata)",26,"N/A","Open/Restricted","No"
37,"","ALBION ST","Front",2,"ALBION ST",762994.191009872,2967559.84331076,42.3904562645,-71.1045511176,"12/14/2017",20245,"linden: littleleaf (Tilia cordata)",25.2,"N/A","Open/Restricted","No"
37,"","ALBION ST","Side",1,"CENTRE ST",762968.141879512,2967595.17777229,42.3905535538,-71.1046469373,"12/20/2017",20437,"maple: hedge (Acer campestre)",9.5,"N/A","Well/Pit","No"
44,"","ALBION ST","Front",1,"ALBION ST",762942.618699934,2967544.20811395,42.3904140174,-71.1047422909,"12/14/2017",20247,"planetree: London (Platanus x acerifolia)",13.3,"N/A","Well/Pit","No"
44,"","ALBION ST","Front",2,"ALBION ST",762968.675781343,2967537.44111645,42.3903951173,-71.1046459516,"12/14/2017",20106,"honeylocust: thornless (Gleditsia triacanthos inermis)",18,"N/A","Well/Pit","No"
46,"","ALBION ST","Front",1,"ALBION ST",762884.71025497,2967579.59409562,42.3905118529,-71.1049560437,"12/14/2017",20199,"maple: Norway (Acer platanoides)",15.3,"N/A","Well/Pit","No"
54,"","ALBION ST","Front",1,"ALBION ST",762769.369901246,2967635.37757408,42.390666388,-71.1053820439,"12/14/2017",20152,"maple: Norway (Acer platanoides)",15.8,"N/A","Well/Pit","No"
55,"","ALBION ST","Front",1,"ALBION ST",762763.909236556,2967673.03224188,42.390769782,-71.1054016128,"12/14/2017",20263,"pear: callery (Pyrus calleryana)",24.7,"N/A","Well/Pit","No"
56,"","ALBION ST","Front",1,"ALBION ST",762747.360663026,2967646.2150953,42.3906964056,-71.1054633301,"12/14/2017",20105,"linden: littleleaf (Tilia cordata)",21.1,"N/A","Well/Pit","No"
62,"","ALBION ST","Front",1,"ALBION ST",762670.736069846,2967683.94584851,42.3908009112,-71.1057463267,"12/14/2017",20246,"maple: Norway (Acer platanoides)",16.3,"N/A","Well/Pit","No"
64,"","ALBION ST","Front",1,"ALBION ST",762618.971046522,2967710.04201141,42.3908731756,-71.1059375,"12/14/2017",20197,"birch: paper (Betula papyrifera)",12.6,"N/A","Well/Pit","No"
65,"","ALBION ST","Front",1,"ALBION ST",762654.678597724,2967726.81855224,42.3909187578,-71.1058050335,"12/14/2017",20156,"pear: callery (Pyrus calleryana)",11,"N/A","Well/Pit","No"
65,"","ALBION ST","Front",2,"ALBION ST",762632.260989425,2967738.05941101,42.390949887,-71.1058878251,"12/14/2017",20251,"maple: Norway (Acer platanoides)",15,"N/A","Well/Pit","No"
72,"","ALBION ST","Front",1,"ALBION ST",762521.96815129,2967757.80797851,42.3910054748,-71.1062957616,"12/14/2017",20150,"maple: Norway (Acer platanoides)",9,"N/A","Well/Pit","No"
76,"","ALBION ST","Front",1,"ALBION ST",762492.221786744,2967771.0409224,42.3910421628,-71.1064056486,"12/14/2017",20104,"pear: callery (Pyrus calleryana)",9.9,"N/A","Well/Pit","No"
77,"","ALBION ST","Front",1,"ALBION ST",762491.650614961,2967806.69220517,42.3911399973,-71.106407154,"12/14/2017",20203,"honeylocust: thornless (Gleditsia triacanthos inermis)",14.3,"N/A","Well/Pit","No"
78,"","ALBION ST","Front",1,"ALBION ST",762475.504722582,2967780.68758451,42.391068845,-71.106467366,"12/14/2017",20242,"maple: Norway (Acer platanoides)",11.8,"N/A","Well/Pit","No"
80,"","ALBION ST","Front",1,"ALBION ST",762435.967327066,2967800.76309582,42.3911244327,-71.1066133801,"12/14/2017",20196,"maple: Norway (Acer platanoides)",11.7,"N/A","Well/Pit","No"
82,"","ALBION ST","Front",1,"ALBION ST",762390.308008424,2967825.67232496,42.3911933615,-71.1067819739,"12/14/2017",20149,"maple: Norway (Acer platanoides)",12.4,"N/A","Well/Pit","No"
83,"","ALBION ST","Front",1,"ALBION ST",762385.681820422,2967858.87389423,42.3912845253,-71.1067985322,"12/14/2017",20109,"cherry/plum: spp. (Prunus spp.)",9.3,"N/A","Well/Pit","No"
83,"","ALBION ST","Side",1,"LOWELL ST",762321.790856593,2967914.17028727,42.3914370668,-71.1070340974,"12/20/2017",20432,"pear: callery (Pyrus calleryana)",20.1,"N/A","Well/Pit","No"
94,"","ALBION ST","Front",0,"ALBION ST",762243.608330564,2967902.58748793,42.3914062715,-71.1073237074,"10/25/2018",35707,"lilac: Japanese tree (Syringa reticulata)",3.2,"N/A","Well/Pit","No"
98,"","ALBION ST","Front",0,"ALBION ST",762182.466220623,2967939.52768017,42.3915084078,-71.1075494113,"10/25/2018",35769,"maple: Norway (Acer platanoides)",19.6,"N/A","Well/Pit","No"
99,"","ALBION ST","Side",1,"LOWELL ST",762360.761240625,2968052.95844111,42.3918174094,-71.1068874707,"12/20/2017",20310,"pear: callery (Pyrus calleryana)",15.3,"N/A","Well/Pit","No"
99,"","ALBION ST","Side",2,"LOWELL ST",762329.652125919,2967990.24881235,42.3916457272,-71.1070036993,"12/20/2017",20353,"pear: callery (Pyrus calleryana)",15.2,"N/A","Well/Pit","No"
99,"","ALBION ST","Side",3,"LOWELL ST",762304.248383154,2967947.29785294,42.3915281907,-71.1070984704,"12/20/2017",20393,"pear: callery (Pyrus calleryana)",16.2,"N/A","Well/Pit","No"
100,"","ALBION ST","Front",0,"ALBION ST",762155.070657618,2967956.87269872,42.3915563484,-71.1076505277,"10/25/2018",35762,"maple: Norway (Acer platanoides)",14.7,"N/A","Well/Pit","No"
104,"","ALBION ST","Front",0,"ALBION ST",762106.727071344,2967987.34228044,42.3916405672,-71.1078289656,"10/25/2018",35752,"planetree: London (Platanus x acerifolia)",25.7,"N/A","Well/Pit","No"
106,"","ALBION ST","Front",0,"ALBION ST",762077.428168613,2968005.7807138,42.3916915319,-71.1079371096,"10/25/2018",35745,"maple: Norway (Acer platanoides)",19.8,"N/A","Well/Pit","No"
111,"X","ALBION ST","Front",0,"ALBION ST",762105.153877354,2968022.92540691,42.3917382273,-71.1078341836,"10/25/2018",35717,"pear: callery (Pyrus calleryana)",6.3,"N/A","Well/Pit","No"
111,"X","ALBION ST","Front",0,"ALBION ST",762064.10880456,2968048.95429974,42.3918101684,-71.1079856804,"10/25/2018",35727,"elm: Chinese (Ulmus parvifolia)",3.4,"N/A","Well/Pit","No"
111,"X","ALBION ST","Front",0,"ALBION ST",762148.268363616,2968034.28506746,42.3917688542,-71.1076743901,"12/4/2018",40655,"hornbeam: European (Carpinus betulus)",2.9,"ALBION PLGD","Open/Restricted","No"
111,"X","ALBION ST","Front",0,"ALBION ST",762077.306358946,2968094.40694383,42.3919347242,-71.1079360525,"12/4/2018",40656,"cherry/plum: spp. (Prunus spp.)",5.7,"ALBION PLGD","Well/Pit","No"
111,"X","ALBION ST","Front",0,"ALBION ST",761994.93175388,2968156.6298663,42.3921065028,-71.1082399277,"12/4/2018",40657,"ginkgo (Ginkgo biloba)",3.6,"ALBION PLGD","Open/Restricted","No"
111,"X","ALBION ST","Front",0,"ALBION ST",762154.377157734,2968046.2545335,42.3918016214,-71.1076515729,"12/4/2018",40659,"hornbeam: European (Carpinus betulus)",4,"ALBION PLGD","Open/Restricted","No"
111,"X","ALBION ST","Front",0,"ALBION ST",762061.166767029,2968104.2270133,42.3919618741,-71.1079956308,"12/4/2018",40661,"honeylocust: thornless (Gleditsia triacanthos inermis)",16.9,"ALBION PLGD","Well/Pit","No"
111,"X","ALBION ST","Front",0,"ALBION ST",761987.457897935,2968143.63068954,42.3920709272,-71.1082678154,"12/4/2018",40662,"ginkgo (Ginkgo biloba)",4.2,"ALBION PLGD","Open/Restricted","No"
111,"X","ALBION ST","Front",0,"ALBION ST",762161.298260209,2968056.16727259,42.3918287346,-71.1076257838,"12/4/2018",40664,"hornbeam: European (Carpinus betulus)",3.5,"ALBION PLGD","Open/Restricted","No"
111,"X","ALBION ST","Front",0,"ALBION ST",762168.781464381,2968067.11950928,42.3918586931,-71.1075978961,"12/4/2018",40665,"hornbeam: European (Carpinus betulus)",3.5,"ALBION PLGD","Open/Restricted","No"
111,"X","ALBION ST","Front",0,"ALBION ST",762049.224119525,2968094.96024197,42.3919365966,-71.1080399975,"12/4/2018",40666,"cherry/plum: spp. (Prunus spp.)",7,"ALBION PLGD","Well/Pit","No"
111,"X","ALBION ST","Front",0,"ALBION ST",762008.414090319,2968131.03740301,42.392036107,-71.108190454,"12/4/2018",40667,"honeylocust: thornless (Gleditsia triacanthos inermis)",16.8,"ALBION PLGD","Well/Pit","No"
111,"X","ALBION ST","Front",0,"ALBION ST",762061.668426981,2968087.52045639,42.3919160249,-71.107994058,"12/4/2018",40672,"cherry/plum: spp. (Prunus spp.)",3.6,"ALBION PLGD","Well/Pit","No"
111,"X","ALBION ST","Front",0,"ALBION ST",761985.229274761,2968109.09534755,42.3919761901,-71.1082766524,"12/4/2018",40673,"honeylocust: thornless (Gleditsia triacanthos inermis)",12,"ALBION PLGD","Open/Restricted","No"
111,"X","ALBION ST","Front",0,"ALBION ST",762174.902796407,2968076.3595707,42.3918839706,-71.1075750789,"12/4/2018",40674,"hornbeam: European (Carpinus betulus)",3,"ALBION PLGD","Open/Restricted","No"
111,"X","ALBION ST","Front",0,"ALBION ST",762004.119224802,2968096.89959316,42.3919424869,-71.1082069332,"12/4/2018",40677,"honeylocust: thornless (Gleditsia triacanthos inermis)",12.3,"ALBION PLGD","Open/Restricted","No"
111,"X","ALBION ST","Front",0,"ALBION ST",762179.662259285,2968083.8874578,42.3919045671,-71.1075573322,"12/4/2018",40680,"hornbeam: European (Carpinus betulus)",3.6,"ALBION PLGD","Open/Restricted","No"
111,"X","ALBION ST","Front",0,"ALBION ST",762018.870276269,2968091.16727601,42.3919265714,-71.1081524255,"12/4/2018",40685,"honeylocust: thornless (Gleditsia triacanthos inermis)",11,"ALBION PLGD","Open/Restricted","No"
111,"X","ALBION ST","Front",0,"ALBION ST",762129.693194303,2968133.17690211,42.3920404483,-71.1077414677,"12/4/2018",40687,"maple: red (Acer rubrum)",5.5,"ALBION PLGD","Well/Pit","No"
111,"X","ALBION ST","Front",0,"ALBION ST",762109.931791627,2968030.00738584,42.3917576,-71.1078163763,"12/4/2018",40689,"honeylocust: thornless (Gleditsia triacanthos inermis)",5.2,"ALBION PLGD","Open/Restricted","No"
111,"X","ALBION ST","Front",0,"ALBION ST",762088.791906938,2968042.92648266,42.3917933167,-71.1078944116,"12/4/2018",40690,"honeylocust: thornless (Gleditsia triacanthos inermis)",3.3,"ALBION PLGD","Open/Restricted","No"
111,"X","ALBION ST","Front",0,"ALBION ST",762044.685325841,2968071.91460197,42.3918734165,-71.1080571912,"12/4/2018",40692,"honeylocust: thornless (Gleditsia triacanthos inermis)",17,"ALBION PLGD","Open/Restricted","No"
111,"X","ALBION ST","Front",0,"ALBION ST",762074.365985872,2968052.41326111,42.3918195305,-71.1079476517,"12/4/2018",40699,"honeylocust: thornless (Gleditsia triacanthos inermis)",4.4,"ALBION PLGD","Open/Restricted","No"
111,"X","ALBION ST","Front",0,"ALBION ST",762106.542855264,2968115.37897638,42.3919919028,-71.1078274684,"12/4/2018",40701,"maple: red (Acer rubrum)",5.7,"ALBION PLGD","Well/Pit","No"
111,"X","ALBION ST","Front",0,"ALBION ST",762077.115333013,2968079.40310286,42.391893556,-71.107937015,"12/4/2018",40709,"lilac: Japanese tree (Syringa reticulata)",2.8,"ALBION PLGD","Well/Pit","No"
111,"X","ALBION ST","Front",0,"ALBION ST",762099.727789461,2968101.22100092,42.3919531392,-71.1078529373,"12/4/2018",40712,"maple: red (Acer rubrum)",5.4,"ALBION PLGD","Well/Pit","No"
111,"X","ALBION ST","Front",0,"ALBION ST",762140.783569832,2968023.67399698,42.3917398318,-71.1077022778,"12/4/2018",40718,"hornbeam: European (Carpinus betulus)",3.8,"ALBION PLGD","Open/Restricted","No"
111,"X","ALBION ST","Front",0,"ALBION ST",762090.687717716,2968088.66837604,42.3919188088,-71.1078866153,"12/4/2018",40723,"maple: red (Acer rubrum)",4.9,"ALBION PLGD","Well/Pit","No"
111,"X","ALBION ST","Rear",0,"ALPINE ST",762142.051593925,2968186.62949871,42.3921869665,-71.1076948094,"12/4/2018",40691,"maple: red (Acer rubrum)",7.7,"ALBION PLGD","Open/Restricted","No"
111,"X","ALBION ST","Rear",0,"ALPINE ST",762127.980718816,2968193.38838013,42.3922056904,-71.1077467819,"12/4/2018",40700,"maple: red (Acer rubrum)",8.2,"ALBION PLGD","Open/Restricted","No"
111,"X","ALBION ST","Rear",0,"ALPINE ST",762100.593548057,2968205.15104441,42.3922383128,-71.1078479636,"12/4/2018",40710,"stump (Stump)",2,"ALBION PLGD","Open/Restricted","Yes"
111,"X","ALBION ST","Rear",0,"ALPINE ST",762095.086492174,2968211.26695592,42.3922551643,-71.1078682455,"12/4/2018",40717,"maple: red (Acer rubrum)",5.3,"ALBION PLGD","Open/Restricted","No"
111,"X","ALBION ST","Rear",0,"ALBION PL",762046.721283821,2968229.12715637,42.3923047828,-71.1080469802,"12/4/2018",40756,"maple: red (Acer rubrum)",8,"ALBION PLGD","Open/Restricted","No"
111,"X","ALBION ST","Side",0,"ALPINE ST",762050.322929544,2968239.38524964,42.3923328856,-71.1080334731,"12/4/2018",40660,"juniper: spp. (Juniperus spp.)",3.7,"ALBION PLGD","Open/Restricted","No"
111,"X","ALBION ST","Side",0,"ALBION PL",762046.578192912,2968234.5915352,42.3923197789,-71.108047417,"12/4/2018",40755,"juniper: spp. (Juniperus spp.)",2.5,"ALBION PLGD","Open/Restricted","No"
111,"X","ALBION ST","Side",0,"ALBION PL",762039.756322977,2968228.76014357,42.3923038635,-71.1080727694,"12/4/2018",40757,"juniper: spp. (Juniperus spp.)",3.1,"ALBION PLGD","Open/Restricted","No"
111,"X","ALBION ST","Side",0,"ALBION PL",762044.17337219,2968236.28637978,42.3923244599,-71.1080562903,"12/4/2018",40758,"juniper: spp. (Juniperus spp.)",3.4,"ALBION PLGD","Open/Restricted","No"
111,"X","ALBION ST","Side",0,"ALBION PL",762047.575683123,2968241.07851994,42.3923375666,-71.1080436141,"12/4/2018",40759,"juniper: spp. (Juniperus spp.)",3.4,"ALBION PLGD","Open/Restricted","Yes"
111,"X","ALBION ST","Side",0,"ALBION PL",762036.363414278,2968221.92096997,42.3922851396,-71.1080854456,"12/4/2018",40760,"maple: red (Acer rubrum)",9.7,"ALBION PLGD","Open/Restricted","No"
111,"X","ALBION ST","Side",0,"ALBION PL",762031.603933433,2968214.39315731,42.3922645433,-71.1081031924,"12/4/2018",40761,"maple: red (Acer rubrum)",9.2,"ALBION PLGD","Open/Restricted","No"
111,"X","ALBION ST","Side",0,"ALBION PL",762019.70365033,2968195.91479177,42.3922139886,-71.1081475591,"12/4/2018",40762,"ginkgo (Ginkgo biloba)",5.7,"ALBION PLGD","Open/Restricted","No"
111,"X","ALBION ST","Side",0,"ALBION PL",762008.825927064,2968178.46465467,42.3921662424,-71.108188123,"12/4/2018",40763,"ginkgo (Ginkgo biloba)",2.6,"ALBION PLGD","Open/Restricted","No"
111,"X","ALBION ST","Side",0,"ALBION PL",762000.709137338,2968166.20944574,42.3921327164,-71.1082183781,"12/4/2018",40764,"ginkgo (Ginkgo biloba)",3,"ALBION PLGD","Open/Restricted","No"
111,"X","ALBION ST","Side",0,"ALBION PL",762015.63371397,2968187.3666027,42.3921905836,-71.1081627706,"12/4/2018",40765,"ginkgo (Ginkgo biloba)",4.5,"ALBION PLGD","Open/Restricted","No"
118,"","ALBION ST","Front",0,"ALBION ST",761872.796940466,2968130.41547366,42.3920361088,-71.108692491,"10/26/2018",35777,"maple: Norway (Acer platanoides)",16.1,"N/A","Well/Pit","No"
128,"","ALBION ST","Front",0,"ALBION ST",761765.937011979,2968193.4367424,42.392210384,-71.1090869949,"10/25/2018",35734,"maple: Norway (Acer platanoides)",14.8,"N/A","Well/Pit","No"
140,"","ALBION ST","Front",0,"ALBION ST",761656.353012192,2968256.47612886,42.3923847417,-71.1094915848,"10/25/2018",35726,"maple: Norway (Acer platanoides)",18.7,"N/A","Well/Pit","No"
146,"","ALBION ST","Front",0,"ALBION ST",761584.365898603,2968293.11745781,42.3924861898,-71.1097574469,"10/25/2018",35739,"planetree: London (Platanus x acerifolia)",22,"N/A","Well/Pit","No"
